DOI,Title
10.1016/j.shpsc.2010.08.002,Dahan 2010 - Putting the Earth System in a Numerical Box?
10.1080/03085140903424519,Çalışkan & Callon 2010 - Economization, Part 2
10.2307/2095325,Gieryn 1983 - Boundary-Work and the Demarcation of Science from Non-Science
10.1080/14693062.2013.791146,Stadelmann et al. 2013 - Difficulties in Accounting for Private Finance
10.1177/030631289019003001,Star & Griesemer 1989 - Institutional Ecology, Translations and Boundary Objects
10.1057/9781137446138_7,Hourcade et al. 2015 - The Dark Matter in the Search for Sustainable Growth
10.1080/03085140903020580,Çalışkan & Callon 2009 - Economization, Part 1
10.1111/j.1467-999X.1960.tb00275.x,Negishi 1960 - Welfare Economics and Existence of an Equilibrium
10.1002/wcc.613,Michaelowa et al. 2019 - Evolution of International Carbon Markets
10.1257/jel.45.3.703,Weitzman 2007 - A Review of The Stern Review
10.1787/5k44zcqbbj42-en,Büchner et al. 2011 - Monitoring and Tracking Long-Term Finance
10.1177/0002764207299351,Fourcade 2007 - Theories of Markets and Theories of Society
10.1080/14693062.2022.2114985,Pauw et al. 2022 - Post-2025 Climate Finance Target
10.1007/s10784-016-9347-4,Roberts & Weikmans 2017 - Fragmentation, Failing Trust and Enduring Tensions
10.1016/0301-4215(92)90024-V,Manne & Richels 1992 - Buying Greenhouse Insurance
10.1002/wcc.437,Steckel et al. 2016 - From Climate Finance Toward Sustainable Development Finance
